Region,Country_code,Name,Sector,Substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India +,AFG,Afghanistan,Rail transportation,CO2,,,,,,,,,,,,,,,,,,,,,11.77574983,11.30287428,7.305555319,7.147547453,6.69180861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India +,AFG,Afghanistan,Inland navigation,CO2,6.943527713,6.943527713,8.043031177,7.684527713,9.154531177,26.05357274,18.65556928,24.11709699,23.01759353,24.48759699,22.28859007,30.52048,29.50764853,39.25854916,48.04237522,72.63229769,67.57172672,65.96096486,70.7663716,46.65258752,77.20083343,73.47142467,45.02423001,38.06637628,46.63413781,48.29608833,44.2596314,45.94014576,44.24876809,46.1365779,32.30370477,32.38726941,29.54583719,36.40385819,33.88594221,50.63409136,64.86393073,58.56760581,130.9430917,181.8782164,194.5969494,238.0564973,230.6341578,155.19586,130.28739,147.1558864,127.6851976,119.4166832,160.3470031,140.4788009,112.644469,143.5667676,146.9457749,142.0435242
India +,AFG,Afghanistan,Other transportation,CO2,,,,,,,,,,,,,,,,,,,,,15.63745132,13.75362756,11.49773752,10.49668582,12.29280383,15.07639569,15.08656514,15.91823983,15.91998577,16.45016664,11.11201512,11.6900784,13.8718914,19.73665301,16.80086782,25.3402635,29.90883833,33.99040112,75.0264268,114.0254746,141.2016809,186.8211768,209.8544643,161.3479305,129.1784189,142.7368764,131.8781974,121.7990138,154.1454656,123.8995282,118.1437117,122.5793609,128.57184,132.0542261
India +,AFG,Afghanistan,Residential and other sectors,CO2,795.3037123,795.3037123,606.9456305,740.2465202,972.6350112,830.0452966,633.4630856,719.0820253,579.6188821,669.366542,551.3156985,636.4299262,716.845704,1068.910627,1290.146975,1654.518241,1582.69561,839.6126848,886.4903031,999.3356634,379.0334628,360.5535527,239.5089844,235.6227329,230.1534312,97.88817079,84.86611471,88.32408145,82.29292585,83.12461377,34.42072033,38.86734759,29.96693781,41.19276149,39.5726998,53.26362871,68.56882901,98.19756674,207.2377312,364.8973972,467.0496827,695.9563213,632.4732616,616.428783,550.2055271,779.8767815,620.5261162,530.1273967,654.4229274,548.0988497,562.2742176,579.0909202,606.7348833,623.0671394
India +,AFG,Afghanistan,Fugitive emissions from solid fuels,CO2,0.055621804,0.055621804,0.046432413,0.057029747,0.061125942,0.074792109,0.083488854,0.100581652,0.117502413,0.114869377,0.116488418,0.140226762,0.150398708,0.150643747,0.168463265,1.455125935,1.538846959,1.598224207,1.318116749,1.237517483,0.980282009,0.85154384,0.229875482,0.057847555,0.049541167,0.041469067,0.017490761,0.007632236,0.005100788,0.002036462,0.00752134,0.318160445,0.270592343,0.37689627,0.216998376,0.3599889,0.402679697,2.592506247,3.783972585,9.590066835,17.44906353,25.2981554,22.78036754,26.42725623,29.29186438,26.01025374,31.34816689,40.63119552,40.32875641,37.23940982,34.20850711,37.50142627,47.09065595,49.13344815
India +,AFG,Afghanistan,Fugitive emissions from oil and gas,CO2,337.9451557,346.2479557,417.1736106,254.5340603,417.1770865,346.2697511,333.7320153,433.8137914,321.2163295,304.5462137,346.2583897,333.7406695,321.2246396,333.7432155,358.7748931,375.4458386,375.4461065,254.480535,212.7772309,45.91218175,29.19133103,29.1909041,25.03556423,25.034561,25.03567885,25.03259892,25.03351688,25.03276135,25.03314252,25.03194521,25.03177333,25.0261667,0.009278015,0.003241499,0.002112508,0.003686352,0.001422324,0.002762258,0.003482576,0.001730017,0.008388037,0.011310283,0.011337763,0.009678477,0.00969518,0.00995813,0.011762605,0.012006568,0.011644042,0.009964742,0.005780357,0.006108262,0.00577386,0.004526893
India +,AFG,Afghanistan,Cement production,CO2,46.436,36.062,44.954,66.69,74.594,72.618,61.75,74.1,62.738,48.906,42.978,38.038,43.065,64.35,55.44,63.488,51.088,51.688,34.79,49.7,49.8,54.718,58.305,58.765,59.34,59.8,60.784,61.364,61.828,62.408,27.1,26.55,31.2,35.63,34.79,29.16,24.8,25.15,17.464,14.688,15.444,15.96,14.8,19.136,31.668,25.2,28.912,28.91004144,29.08054008,28.22515312,28.22515312,14.11257656,14.11257656,14.11257656
India +,AFG,Afghanistan,Production of other minerals,CO2,0.556055,0.57064,0.585845,0.601125,0.61578,0.62915,0.64157,0.652825,0.661125,0.664165,0.66057,0.649845,0.63335,0.613955,0.595625,0.581525,0.571945,0.566895,0.56879,0.58042,0.60338,0.63947,0.68728,0.74122,0.7935,0.838625,0.87409,0.901705,0.925575,0.95192,0.985095,1.02656,1.074355,1.12537,1.17499,1.219995,1.25918,1.293875,1.326435,1.360365,1.39811,1.44046,1.48634,1.484092819,1.533681321,1.58492674,1.622290088,1.660534247,1.69967998,1.742797412,1.742797412,1.951978295,1.951978295,1.951978295
India +,AFG,Afghanistan,Production of chemicals,CO2,,,,,,,74.65169545,68.41699309,62.47218213,64.00218213,65.12351359,66.60284786,68.13284786,69.86718213,70.80162501,78.17249387,63.53449105,63.1258225,64.14749387,64.14749387,62.83593111,68.76162501,73.39320185,49.25543034,28.71440062,18.68885758,9.344428792,9.344428792,9.344428792,9.344428792,47.59442879,38.46749796,38.46749796,38.46749796,38.73994365,40.17028356,38.80805508,39.28483505,37.800006,42.900006,55.650006,55.650006,116.850006,180.600006,142.1466716,100.6866719,108.6720062,107.3666735,118.689335,120.0606677,,,,
India +,AFG,Afghanistan,Production of metals,CO2,92.93332,94.258752,86.688,85.7248,93.1896,91.852816,88.1414,78.3288,75.1296,70.26372,74.66004,75.6972,75.164,69.409912,65.89492,66.849864,62.18316,60.150292,56.473448,55.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
